!,...,,...,,,,,,
@@,agent_id,old_id,language,commentary,note,created,created_by,last_modified,last_modified_by
+++,NULL,P0179,NULL,,,2017-10-08,MG,2017-12-23,MG
,AG0156,P0180,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0180,NULL,,,2017-10-09,MG,2018-02-06,WH
,AG0157,P0181,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0181,NULL,,,2017-10-24,MG,2017-12-23,MG
,AG0158,P0182,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0182,NULL,,,2017-10-24,MG,2017-12-23,MG
+++,NULL,P0182,NULL,,,2017-10-24,MG,2017-12-23,MG
,AG0159,P0183,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0183,NULL,,,2017-10-25,MG,2017-12-23,MG
,AG0160,P0184,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0184,NULL,,,2017-10-30,MG,2018-10-25,DP
,AG0161,P0185,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0185,NULL,,,2017-10-30,MG,2018-10-25,DP
,AG0162,P0186,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0186,NULL,,,2017-10-30,MG,2018-10-25,DP
,AG0163,P0187,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0187,NULL,,,2017-10-30,MG,2017-12-23,MG
,AG0164,P0188,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0188,NULL,,,2017-12-14,MG,2017-12-23,MG
,AG0165,P0189,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0189,NULL,,,2017-12-14,MG,2017-12-23,MG
+++,NULL,P0189,NULL,,,2017-12-14,MG,2017-12-23,MG
